size 50 50
tileset outdoor
visibilityRadius 8
unexplored


encounter "gryphon_lvl05" 4 8
encounter "scorpions_lvl04" 13 19
encounter "scorpions_lvl04" 40 7
encounter "scorpions_lvl04" 11 42
encounter "bandits_lvl05" 27 28
encounter "bandits_lvl05" 25 35
encounter "bandits_lvl05" 14 30
encounter "bandits_lvl05" 18 38
encounter "southernRoadSecretDoor" 41 26
encounter "scorpions_lvl04" 41 43

item 1 "chest_level05" 22 28
item 1 "ruraldoor_SE" 19 30
item 1 "ruraldoor_SE_lock05" 26 38
item 1 "spikeTrap" 18 30
item 1 "flameTrap" 27 38
item 1 "chest_level05" 16 39
item 1 "armorstand_level10" 8 45
item 1 "ruraldoor_SW" 18 35
item 1 "ruraldoor_SE_lock05" 24 39
item 1 "nest_lvl10" 4 7
item 1 "chest_weapon_level05" 30 41
item 1 "chest_lock_level05" 18 26
item 1 "chest_level05" 10 29
item 1 "chest_lock_level10" 37 2
item 1 "ruraldoor_SW" 18 29
item 1 "chest_lock_level10" 9 45
item 1 "lightningTrap" 25 39
item 1 "chest_lock_level10" 29 41
item 1 "armorstand_level05" 31 40
item 1 "flameTrap" 26 30
item 1 "ruraldoor_SE" 24 33
item 1 "spikeTrap" 17 35

tile base 49 49 base/grassdry0
tile base 48 49 base/grassdry5
tile base 47 49 base/grassdry1
tile base 46 49 base/grassdry1
tile base 45 49 base/grassdry3
tile base 44 49 base/grassdry1
tile base 43 49 base/grassdry2
tile base 42 49 base/dirt5
tile base 41 49 base/grassdry4
tile base 40 49 base/grassdry2
tile base 39 49 base/grassdry0
tile base 38 49 base/grassdry3
tile base 37 49 base/grassdry2
tile base 36 49 base/grassdry1
tile base 35 49 base/grassdry0
tile base 34 49 base/grassdry4
tile base 33 49 base/grassdry3
tile base 32 49 base/grassdry0
tile base 31 49 base/grassdry3
tile base 30 49 base/grassdry2
tile base 29 49 base/grassdry3
tile base 28 49 base/grassdry4
tile base 27 49 base/grassdry1
tile base 26 49 base/grassdry0
tile base 25 49 base/grassdry2
tile base 24 49 base/grassdry5
tile base 23 49 base/grassdry2
tile base 22 49 base/grassdry1
tile base 21 49 base/grassdry4
tile base 20 49 base/grassdry5
tile base 19 49 base/grassdry5
tile base 18 49 base/grassdry5
tile base 17 49 base/grassdry2
tile base 16 49 base/grassdry3
tile base 15 49 base/grassdry2
tile base 14 49 base/grassdry4
