size 80 80
tileset outdoor
visibilityRadius 8
unexplored


encounter "desertViper_lvl06" 4 4
encounter "clagraw_lvl06" 73 22
encounter "clagraw_lvl06" 40 7
encounter "clagraw_lvl06" 10 12
encounter "clagraw_lvl06" 16 24
encounter "clagraw_lvl06" 48 31
encounter "clagraw_lvl06" 55 48
encounter "bandits_lvl05" 62 26
encounter "mercs_sonorin_desert" 71 54
encounter "bandits_lvl05" 11 74
encounter "bandits_lvl05" 39 56
encounter "bandits_lvl05" 71 39
encounter "bandits_lvl05" 62 37
encounter "clagraw_lvl06" 12 49
encounter "clagraw_queen_lvl08" 12 35
encounter "sonorinDesertStash" 17 34

item 1 "sonorinDesertDoor" 6 57
item 1 "chest_level10" 4 4
item 1 "armorstand_level10" 15 31
item 1 "armorstand_level10" 73 24
item 1 "chest_level10" 64 9
item 1 "chest_level10" 12 32
item 1 "chest_lock_level10" 9 75
item 1 "chest_level10" 71 41
item 1 "armorstand_level10" 75 50
item 1 "chest_lock_level10" 3 3
item 1 "armorstand_level10" 10 76
item 1 "chest_level10" 72 51
item 1 "chest_lock_level10" 71 24
item 1 "chest_weapon_level10" 70 42
item 1 "spikeTrap" 60 24
item 1 "rockTrap" 13 73
item 1 "chest_level10" 21 45
item 1 "flameTrap" 10 72
item 1 "flameTrap" 63 6
item 1 "spikeTrap" 62 23
item 1 "armorstand_level10" 3 42

tile base 79 79 base/desert7
tile base 78 79 base/desert3
tile base 77 79 base/desert0
tile base 76 79 base/desert5
tile base 75 79 base/desert6
tile base 74 79 base/desert2
tile base 73 79 base/desert6
tile base 72 79 base/desert1
tile base 71 79 base/desert1
tile base 70 79 base/desert6
tile base 69 79 base/desert6
tile base 68 79 base/desert0
tile base 67 79 base/desert5
tile base 66 79 base/desert4
tile base 65 79 base/desert7
tile base 64 79 base/desert3
tile base 63 79 base/desert7
tile base 62 79 base/desert7
tile base 61 79 base/desert3
tile base 60 79 base/desert5
tile base 59 79 base/desert2
tile base 58 79 base/desert0
tile base 57 79 base/desert0
tile base 56 79 base/desert0
tile base 55 79 base/desert5
tile base 54 79 base/desert5
tile base 53 79 base/desert4
tile base 52 79 base/desert1
tile base 51 79 base/desert3
tile base 50 79 base/desert0
tile base 49 79 base/desert3
tile base 48 79 base/desert6
tile base 47 79 base/desert5
