size 30 81
tileset cave
visibilityRadius 6
unexplored


encounter "drakes_lvl13" 10 11
encounter "drakes_lvl13" 24 5
encounter "drakes_lvl13" 23 22
encounter "drakes_lvl13" 6 25
encounter "drakes_lvl13" 15 38
encounter "drakes_lvl13" 25 51
encounter "drakes_lvl13" 13 51
encounter "drakes_lvl13" 17 62
encounter "drakes_lvl13" 7 74
encounter "drakes_lvl14" 23 70

item 1 "flameTrap" 6 21
item 1 "flameTrap" 20 20
item 1 "flameTrap" 15 35
item 1 "rockTrap" 17 35
item 1 "flameTrap" 25 48
item 1 "flameTrap" 12 60
item 1 "flameTrap" 4 71
item 1 "rockTrap" 4 72
item 1 "chest_weapon_superb" 23 3
item 1 "chest_lock_lvl15" 26 5
item 1 "chest_lock_lvl15" 25 23
item 1 "chest_level10" 24 24
item 1 "armorstand_superb" 4 28
item 1 "chest_level10fine" 5 28
item 1 "chest_weapon_level10fine" 22 39
item 1 "chest_lock_level10fine" 21 39
item 1 "chest_lock_lvl15" 18 50
item 1 "chest_weapon_superb" 17 60
item 1 "armorstand_superb" 14 74
item 1 "chest_lock_lvl15" 12 74

tile 0 20 80 layer0/lava3
tile 0 19 80 layer0/lava4
tile 0 18 80 layer0/lava1
tile 0 17 80 layer0/lava4
tile 0 16 80 layer0/lava4
tile 0 15 80 layer0/lava3
tile 0 14 80 layer0/lava1
tile 0 13 80 layer0/lava2
tile 0 12 80 layer0/lava4
tile 0 11 80 layer0/lava2
tile 0 10 80 layer0/lava1
tile 0 9 80 layer0/lava3
tile 0 8 80 layer0/lava1
tile 0 7 80 layer0/lava2
tile 0 6 80 layer0/lava3
tile 0 5 80 layer0/lava3
tile 0 4 80 layer0/lava3
tile 0 3 80 layer0/lava4
tile 0 2 80 layer0/lava4
tile 0 1 80 layer0/lava4
tile 0 0 80 layer0/lava2
tile 0 29 79 layer0/floor
tile 0 28 79 layer0/floor
tile 0 22 79 layer0/lava1
tile 0 21 79 layer0/lava1
tile 0 20 79 layer0/lava1
tile 0 19 79 layer0/lava1
tile 0 18 79 layer0/lava2
tile 0 17 79 layer0/lava1
tile 0 16 79 layer0/lava1
tile 0 15 79 layer0/lava3
tile 0 14 79 layer0/lava3
tile 0 13 79 layer0/lava4
tile 0 12 79 layer0/lava2
tile 0 11 79 layer0/lava3
tile 0 10 79 layer0/lava4
tile 0 9 79 layer0/lava1
tile 0 8 79 layer0/lava4
tile 0 7 79 layer0/lava1
tile 0 6 79 layer0/lava3
tile 0 5 79 layer0/lava4
tile 0 4 79 layer0/lava4
tile 0 3 79 layer0/lava3
tile 0 2 79 layer0/lava3
tile 0 1 79 layer0/lava2
tile 0 0 79 layer0/lava3
tile 0 29 78 layer0/floor
tile 0 28 78 layer0/floor
tile 0 27 78 layer0/floor
tile 0 26 78 layer0/floor
tile 0 22 78 layer0/lava1
tile 0 21 78 layer0/lava1
tile 0 20 78 layer0/lava1
tile 0 19 78 layer0/lava2
tile 0 18 78 layer0/lava2
tile 0 17 78 layer0/lava3
tile 0 16 78 layer0/lava2
tile 0 15 78 layer0/lava4
tile 0 14 78 layer0/lava1
tile 0 13 78 layer0/lava3
tile 0 12 78 layer0/lava4
tile 0 11 78 layer0/lava2
tile 0 10 78 layer0/lava2
